image,link,price,titile
https://www.village-bd.com/uploads/product/mini_list/gigabyte-aorus-geforce-rtx-2080-xtreme-8gb-ddr6-graphics-card-1564055155.jpg,https://www.village-bd.com/gigabyte-aorus-geforce-rtx-2080-xtreme-8gb-ddr6-graphics-card,"৳ 87,000",Gigabyte AORUS GeForce RTX 2080 XTREME 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2080-ti-windforce-11gb-ddr6-graphics-card-1564056004.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2080-ti-windforce-11gb-ddr6-graphics-card,"৳ 113,000",Gigabyte GeForce RTX 2080 Ti WINDFORCE 11GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-radeon-rx-550-2gb-ddr5-graphics-card-1564056774.jpg,https://www.village-bd.com/gigabyte-radeon-rx-550-2gb-ddr5-graphics-card,"৳ 9,600",Gigabyte Radeon RX 550 2GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-radeon-rx-570-gaming-8gb-ddr5-mi-graphics-card-1564057526.jpg,https://www.village-bd.com/gigabyte-radeon-rx-570-gaming-8gb-ddr5-mi-graphics-card,"৳ 16,500",Gigabyte Radeon RX 570 Gaming 8GB DDR5 MI Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-radeon-rx-580-gaming-8gb-ddr5-mi-graphics-card-1564058155.jpg,https://www.village-bd.com/gigabyte-radeon-rx-580-gaming-8gb-ddr5-mi-graphics-card,"৳ 20,000",Gigabyte Radeon RX 580 Gaming 8GB DDR5 MI Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-radeon-rx-vega-56-gaming-oc-8gb-hbm2-graphics-card-1564058881.jpg,https://www.village-bd.com/gigabyte-radeon-rx-vega-56-gaming-oc-8gb-hbm2-graphics-card,"৳ 63,500",Gigabyte Radeon RX VEGA 56 GAMING OC 8GB HBM2 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-gtx-1050-ti-windforce-oc-4gb-ddr5-graphics-card-1564059488.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1050-ti-windforce-oc-4gb-ddr5-graphics-card,"৳ 18,000",Gigabyte GeForce GTX 1050 Ti Windforce OC 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/ZOTAC-GTX-1050-Ti-OC-Edition-Graphic-Card-ZT-P10510B-10L-1.jpg,https://www.village-bd.com/zotac-geforce-gtx-1050-ti-oc-edition-4gb-gddr5-graphics-card,"৳ 16,500",ZOTAC GeForce GTX 1050 Ti OC Edition 4GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/GeForce RTX 2060 AMP A.jpg,https://www.village-bd.com/zotac-gaming-geforce-rtx-2060-amp-6gb-gddr6-graphics-card,"৳ 37,500",ZOTAC GAMING GeForce RTX 2060 AMP 6GB GDDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/ZOTAC GAMING GeForce GTX 1660 Ti AMP A.jpg,https://www.village-bd.com/zotac-gaming-geforce-gtx-1660-ti-amp-6gb-gddr6-graphics-card,"৳ 29,900",ZOTAC GAMING GeForce GTX 1660 Ti AMP 6GB GDDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/zotac-gaming-geforce-gtx-1660-amp-6gb-gddr5-graphics-card-1566650525.jpg,https://www.village-bd.com/zotac-gaming-geforce-gtx-1660-amp-6gb-gddr5-graphics-card,"৳ 24,000",Zotac Gaming GeForce GTX 1660 AMP 6GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/zotac-gaming-geforce-gtx-1660-6gb-gddr5-graphics-card-1566650119.jpg,https://www.village-bd.com/zotac-gaming-geforce-gtx-1660-6gb-gddr5-graphics-card,"৳ 21,500",ZOTAC GAMING GeForce GTX 1660 6GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/ph-gtx1050-3g-1.jpg,https://www.village-bd.com/asus-ph-gtx1050-3gb-graphics-card,"৳ 15,500",ASUS PH-GTX1050-3GB Graphics Card
https://www.village-bd.com/uploads/product/mini_list/rog-strix-rtx2070-o8g-gaming-1.jpg,https://www.village-bd.com/asus-rog-strix-rtx2070-o8g-gaming-graphics-card,"৳ 71,500",ASUS ROG-STRIX-RTX2070-O8G-GAMING Graphics Card
https://www.village-bd.com/uploads/product/mini_list/P_setting_000_1_90_end_500.jpg,https://www.village-bd.com/asus-dual-rtx2070-o8g-graphics-card,"৳ 67,000",ASUS DUAL-RTX2070-O8G Graphics Card
https://www.village-bd.com/uploads/product/mini_list/zotac-gaming-geforce-rtx2070-amp-extreme-8gb-ddr6-graphics-card-1566651514.jpg,https://www.village-bd.com/zotac-gaming-geforce-rtx2070-amp-extreme-8gb-ddr6-graphics-card,"৳ 66,000",ZOTAC GAMING GEFORCE RTX2070 AMP! EXTREME 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/zotac-gaming-geforce-rtx2080-amp-edition-8gb-ddr6-graphics-card-1566651914.jpg,https://www.village-bd.com/zotac-gaming-geforce-rtx2080-amp-edition-8gb-ddr6-graphics-card,"৳ 79,000",ZOTAC GAMING GEFORCE RTX2080 AMP! EDITION 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/zotac-gaming-geforce-rtx2080ti-amp-edition-11gb-ddr6-graphics-card-1566652572.jpg,https://www.village-bd.com/zotac-gaming-geforce-rtx2080ti-amp-edition-11gb-ddr6-graphics-card,"৳ 126,000",ZOTAC GAMING GEFORCE RTX2080Ti AMP! EDITION 11GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/Gigabyte GeForce® GTX 1050 Ti OC 4G-1.jpg,https://www.village-bd.com/gigabyte-gtx-1050-ti-oc-4gb-ddr5-graphics-card,"৳ 17,500",Gigabyte GTX 1050 Ti OC 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/sapphire r7 240 1gb ddr5 2-500x500.jpg,https://www.village-bd.com/sapphire-r7-240-1gb-ddr5-graphics-card,"৳ 5,500",Sapphire R7 240 1GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-nvidia-geforce-gt-1030-oc-2gb-ddr5-graphics-card-1563968296.jpg,https://www.village-bd.com/gigabyte-nvidia-geforce-gt-1030-oc-2gb-ddr5-graphics-card,"৳ 8,400",Gigabyte NVIDIA GeForce GT 1030 OC 2GB DDR5 Graphics Card
